HGNC.symbol,MGI.symbol,HGNC.symbol,Chromosome.scaffold.name,Gene.start..bp.
CNOT11,Cnot11,CNOT11,1,39534992
CNOT10,Cnot10,CNOT10,9,114585878
CNOT1,Cnot1,CNOT1,8,95719451
CNNM4,Cnnm4,CNNM4,1,36471620
CNNM3,Cnnm3,CNNM3,1,36511867
CNNM2,Cnnm2,CNNM2,19,46761596
CNNM1,Cnnm1,CNNM1,19,43440436
CNN3,Cnn3,CNN3,3,121426497
CNN2,Cnn2,CNN2,10,79988584
CNN1,Cnn1,CNN1,9,22099216
CNMD,Cnmd,CNMD,14,79637690
CNKSR3,Cnksr3,CNKSR3,10,7119063
CNKSR2,Cnksr2,CNKSR2,X,157821436
CNKSR1,Cnksr1,CNKSR1,4,134228041
CNIH4,Cnih4,CNIH4,1,181144693
CNIH3,Cnih3,CNIH3,1,181352628
CNIH2,Cnih2,CNIH2,19,5092871
CNIH1,Cnih1,CNIH1,14,46775567
CNGB3,Cngb3,CNGB3,4,19280850
CNGB1,Cngb1,CNGB1,8,95239045
CNGA4,Cnga4,CNGA4,7,105404568
CNGA3,Cnga3,CNGA3,1,37214434
CNGA2,Cnga2,CNGA2,X,71991849
CNGA1,Cnga1,CNGA1,5,72603696
CNFN,Cnfn,CNFN,7,25367620
CNEP1R1,Cnep1r1,CNEP1R1,8,88118769
CNDP2,Cndp2,CNDP2,18,84667470
CNDP1,Cndp1,CNDP1,18,84610509
CNBD2,Cnbd2,CNBD2,2,156312299
CNBD1,Cnbd1,CNBD1,4,18860454
C12orf40,CN725425,C12orf40,15,91199494
CMYA5,Cmya5,CMYA5,13,93040713
CMTR2,Cmtr2,CMTR2,8,110215665
CMTR1,Cmtr1,CMTR1,17,29660595
CMTM8,Cmtm8,CMTM8,9,114789345
CMTM7,Cmtm7,CMTM7,9,114756836
CMTM6,Cmtm6,CMTM6,9,114731116
CMTM5,Cmtm5,CMTM5,14,54936261
CMTM4,Cmtm4,CMTM4,8,104348191
CMTM3,Cmtm3,CMTM3,8,104339410
CMTM2,Cmtm2b,CMTM2,8,104322230
CMTM2,Cmtm2a,CMTM2,8,104281042
CKLF-CMTM1,Cmtm1,CKLF-CMTM1,8,104292622
CMTM1,Cmtm1,CMTM1,8,104292622
CMSS1,Cmss1,CMSS1,16,57302000
CMPK2,Cmpk2,CMPK2,12,26469204
CMPK1,Cmpk1,CMPK1,4,114959336
CMKLR1,Cmklr1,CMKLR1,5,113612354
CMIP,Cmip,CMIP,8,117257064
CMC4,Cmc4,CMC4,X,75404846
CMC2,Cmc2,CMC2,8,116888685
CMC1,Cmc1,CMC1,9,118064522
CMBL,Cmbl,CMBL,15,31565389
CMAS,Cmas,CMAS,6,142756686
CMA1,Cma1,CMA1,14,55941451
CLYBL,Clybl,CLYBL,14,122181704
CLVS2,Clvs2,CLVS2,10,33512286
CLVS1,Clvs1,CLVS1,4,9269293
CLUH,Cluh,CLUH,11,74649495
CLUAP1,Cluap1,CLUAP1,16,3908801
CLU,Clu,CLU,14,65968483
CLTC,Cltc,CLTC,11,86694351
CLTB,Cltb,CLTB,13,54592401
CLTA,Clta,CLTA,4,44004452
CLSTN3,Clstn3,CLSTN3,6,124430759
CLSTN2,Clstn2,CLSTN2,9,97444395
CLSTN1,Clstn1,CLSTN1,4,149586468
CLSPN,Clspn,CLSPN,4,126556935
CLRN3,Clrn3,CLRN3,7,135511466
CLRN2,Clrn2,CLRN2,5,45453751
CLRN1,Clrn1,CLRN1,3,58844028
CLPX,Clpx,CLPX,9,65294260
CLPTM1L,Clptm1l,CLPTM1L,13,73604006
CLPTM1,Clptm1,CLPTM1,7,19631571
CLPSL2,Clpsl2,CLPSL2,17,28549411
CLPS,Clps,CLPS,17,28558149
CLPP,Clpp,CLPP,17,56990305
CLPB,Clpb,CLPB,7,101663633
CLP1,Clp1,CLP1,2,84722104
CLOCK,Clock,CLOCK,5,76209868
CLNS1A,Clns1a,CLNS1A,7,97696634
CLNK,Clnk,CLNK,5,38706462
CLN8,Cln8,CLN8,8,14881335
CLN6,Cln6,CLN6,9,62838785
CLN5,Cln5,CLN5,14,103070216
CLN3,Cln3,CLN3,7,126571207
CLMP,Clmp,CLMP,9,40685962
CLMN,Clmn,CLMN,12,104763117
CLK4,Clk4,CLK4,11,51261730
CLK3,Clk3,CLK3,9,57750624
CLK2,Clk2,CLK2,3,89164795
CLK1,Clk1,CLK1,1,58410189
CLIP4,Clip4,CLIP4,17,71768473
CLIP3,Clip3,CLIP3,7,30291728
CLIP2,Clip2,CLIP2,5,134489383
CLIP1,Clip1,CLIP1,5,123577795
CLINT1,Clint1,CLINT1,11,45852051
CLIC6,Clic6,CLIC6,16,92485736
CLIC5,Clic5,CLIC5,17,44188584
CLIC4,Clic4,CLIC4,4,135213969
CLIC3,Clic3,CLIC3,2,25456838
CLIC1,Clic1,CLIC1,17,35049966
CLHC1,Clhc1,CLHC1,11,29547950
CLGN,Clgn,CLGN,8,83389867
CLEC9A,Clec9a,CLEC9A,6,129408862
CLEC7A,Clec7a,CLEC7A,6,129461591
CLEC5A,Clec5a,CLEC5A,6,40574894
CLEC6A,Clec4n,CLEC6A,6,123229843
CLEC4G,Clec4g,CLEC4G,8,3707064
CLEC4F,Clec4f,CLEC4F,6,83644542
CLEC4E,Clec4e,CLEC4E,6,123281789
CLEC4D,Clec4d,CLEC4D,6,123262111
CLEC4C,Clec4b2,CLEC4C,6,123172893
CLEC4C,Clec4b1,CLEC4C,6,123049962
CLEC4C,Clec4a4,CLEC4C,6,122990367
CLEC4C,Clec4a3,CLEC4C,6,122952515
CLEC4C,Clec4a2,CLEC4C,6,123106428
CLEC4A,Clec4a1,CLEC4A,6,122921848
CLEC3B,Clec3b,CLEC3B,9,123150946
CLEC3A,Clec3a,CLEC3A,8,114418086
CLEC2L,Clec2l,CLEC2L,6,38663069
CLEC2D,Clec2i,CLEC2D,6,128887588
CLEC2D,Clec2h,CLEC2D,6,128662385
CLEC2D,Clec2g,CLEC2D,6,128934381
CLEC2D,Clec2e,CLEC2D,6,129091998
CLEC2D,Clec2d,CLEC2D,6,129180615
CLEC1B,Clec1b,CLEC1B,6,129397297
CLEC1A,Clec1a,CLEC1A,6,129424772
CLEC18A,Clec18a,CLEC18A,8,111058920
CLEC18B,Clec18a,CLEC18B,8,111058920
CLEC18C,Clec18a,CLEC18C,8,111058920
CLEC16A,Clec16a,CLEC16A,16,10545339
CLEC14A,Clec14a,CLEC14A,12,58264720
CLEC12B,Clec12b,CLEC12B,6,129375515
CLEC12A,Clec12a,CLEC12A,6,129342691
CLEC11A,Clec11a,CLEC11A,7,44302687
CLEC10A,Clec10a,CLEC10A,11,70156197
CLDND2,Cldnd2,CLDND2,7,43440782
CLDND1,Cldnd1,CLDND1,16,58727910
CLDN9,Cldn9,CLDN9,17,23682584
CLDN8,Cldn8,CLDN8,16,88560828
CLDN7,Cldn7,CLDN7,11,69964779
CLDN6,Cldn6,CLDN6,17,23679249
CLDN5,Cldn5,CLDN5,16,18776847
CLDN34,Cldn34d,CLDN34,X,76582610
CLDN34,Cldn34c4,CLDN34,X,127721182
CLDN34,Cldn34c3,CLDN34,X,123793665
CLDN34,Cldn34c2,CLDN34,X,123581700
CLDN34,Cldn34c1,CLDN34,X,123103495
CLDN34,Cldn34b4,CLDN34,X,76393350
CLDN34,Cldn34b3,CLDN34,X,76264304
CLDN34,Cldn34b2,CLDN34,X,155124917
CLDN34,Cldn34b1,CLDN34,X,154886805
CLDN34,Cldn34a,CLDN34,X,152563334
CLDN3,Cldn3,CLDN3,5,134986214
CLDN23,Cldn23,CLDN23,8,35824712
CLDN20,Cldn20,CLDN20,17,3532554
CLDN2,Cldn2,CLDN2,X,139800828
CLDN19,Cldn19,CLDN19,4,119255414
CLDN18,Cldn18,CLDN18,9,99689461
CLDN17,Cldn17,CLDN17,16,88505807
CLDN16,Cldn16,CLDN16,16,26463135
CLDN15,Cldn15,CLDN15,5,136966616
CLDN14,Cldn14,CLDN14,16,93919031
CLDN4,Cldn13,CLDN4,5,134914249
CLDN12,Cldn12,CLDN12,5,5489537
CLDN11,Cldn11,CLDN11,3,31149920
CLDN10,Cldn10,CLDN10,14,118787908
CLDN1,Cldn1,CLDN1,16,26356642
CLCNKA,Clcnkb,CLCNKA,4,141404353
CLCNKB,Clcnkb,CLCNKB,4,141404353
CLCNKA,Clcnka,CLCNKA,4,141384610
CLCNKB,Clcnka,CLCNKB,4,141384610
CLCN7,Clcn7,CLCN7,17,25133391
CLCN6,Clcn6,CLCN6,4,148004259
CLCN5,Clcn5,CLCN5,X,7153810
CLCN4,Clcn4,CLCN4,7,7282309
CLCN3,Clcn3,CLCN3,8,60910389
CLCN2,Clcn2,CLCN2,16,20702964
CLCN1,Clcn1,CLCN1,6,42286685
CLCF1,Clcf1,CLCF1,19,4214238
CLCC1,Clcc1,CLCC1,3,108653913
CLCA4,Clca4b,CLCA4,3,144910921
CLCA4,Clca4a,CLCA4,3,144952480
CLCA2,Clca2,CLCA2,3,145070263
CLCA1,Clca1,CLCA1,3,145003817
CLASRP,Clasrp,CLASRP,7,19581035
CLASP2,Clasp2,CLASP2,9,113741473
CLASP1,Clasp1,CLASP1,1,118389058
CKS2,Cks2,CKS2,13,51645232
CKS1B,Cks1brt,CKS1B,8,85151924
CKS1B,Cks1b,CKS1B,3,89415472
CKMT2,Ckmt2,CKMT2,13,91853387
CKMT1B,Ckmt1,CKMT1B,2,121357714
CKMT1A,Ckmt1,CKMT1A,2,121357714
CKM,Ckm,CKM,7,19404776
CKLF,Cklf,CKLF,8,104250861
CKB,Ckb,CKB,12,111669361
CKAP5,Ckap5,CKAP5,2,91526762
CKAP4,Ckap4,CKAP4,10,84526305
CKAP2L,Ckap2l,CKAP2L,2,129268210
CKAP2,Ckap2,CKAP2,8,22168160
C1orf94,CK137956,C1orf94,4,127927592
CIZ1,Ciz1,CIZ1,2,32352327
CITED4,Cited4,CITED4,4,120666572
CITED2,Cited2,CITED2,10,17723218
CITED1,Cited1,CITED1,X,102247381
CIT,Cit,CIT,5,115845278
CISH,Cish,CISH,9,107296026
CISD3,Cisd3,CISD3,11,97685826
CISD2,Cisd2,CISD2,3,135406412
CISD1,Cisd1,CISD1,10,71330480
CIRBP,Cirbp,CIRBP,10,80165985
CIR1,Cir1,CIR1,2,73283105
CIPC,Cipc,CIPC,12,86947043
CINP,Cinp,CINP,12,110872610
CILP2,Cilp2,CILP2,8,69880369
CILP,Cilp,CILP,9,65265180
CIITA,Ciita,CIITA,16,10480059
CIDEC,Cidec,CIDEC,6,113424634
CIDEB,Cideb,CIDEB,14,55754050
CIDEA,Cidea,CIDEA,18,67343564
CIC,Cic,CIC,7,25267704
CIB4,Cib4,CIB4,5,30485583
CIB3,Cib3,CIB3,8,72204335
CIB2,Cib2,CIB2,9,54544794
CIB1,Cib1,CIB1,7,80227147
CIART,Ciart,CIART,3,95878503
CIAPIN1,Ciapin1,CIAPIN1,8,94819804
CIAO1,Ciao1,CIAO1,2,127240938
CHURC1,Churc1,CHURC1,12,76765538
CHUK,Chuk,CHUK,19,44073335
CHTOP,Chtop,CHTOP,3,90498956
CHTF8,Chtf8,CHTF8,8,106883863
CHTF18,Chtf18,CHTF18,17,25718926
CHSY3,Chsy3,CHSY3,18,59175401
CHSY1,Chsy1,CHSY1,7,66109515
CHST9,Chst9,CHST9,18,15451924
CHST8,Chst8,CHST8,7,34674468
CHST7,Chst7,CHST7,X,20059560
CHST4,Chst4,CHST4,8,110029153
CHST3,Chst3,CHST3,10,60181532
CHST2,Chst2,CHST2,9,95399292
CHST15,Chst15,CHST15,7,132235780
CHST14,Chst14,CHST14,2,118926496
CHST13,Chst13,CHST13,6,90308349
CHST12,Chst12,CHST12,5,140505550
CHST11,Chst11,CHST11,10,82985498
CHST10,Chst10,CHST10,1,38863867
CHST1,Chst1,CHST1,2,92599707
CHRNG,Chrng,CHRNG,1,87204657
CHRNE,Chrne,CHRNE,11,70614883
CHRND,Chrnd,CHRND,1,87190607
CHRNB4,Chrnb4,CHRNB4,9,55028154
CHRNB3,Chrnb3,CHRNB3,8,27368711
CHRNB2,Chrnb2,CHRNB2,3,89746195
CHRNB1,Chrnb1,CHRNB1,11,69784036
CHRNA9,Chrna9,CHRNA9,5,65934921
CHRNA7,Chrna7,CHRNA7,7,63098692
CHRFAM7A,Chrna7,CHRFAM7A,7,63098692
CHRNA6,Chrna6,CHRNA6,8,27403212
CHRNA5,Chrna5,CHRNA5,9,54980880
CHRNA4,Chrna4,CHRNA4,2,181018380
CHRNA3,Chrna3,CHRNA3,9,55010111
CHRNA2,Chrna2,CHRNA2,14,66135039
CHRNA10,Chrna10,CHRNA10,7,102111266
CHRNA1,Chrna1,CHRNA1,2,73563215
CHRM5,Chrm5,CHRM5,2,112479171
CHRM4,Chrm4,CHRM4,2,91927249
CHRM3,Chrm3,CHRM3,13,9875486
CHRM2,Chrm2,CHRM2,6,36388084
CHRM1,Chrm1,CHRM1,19,8663789
CHRDL2,Chrdl2,CHRDL2,7,100006172
CHRDL1,Chrdl1,CHRDL1,X,143285674
CHRD,Chrd,CHRD,16,20733127
CHRAC1,Chrac1,CHRAC1,15,73090392
CHPT1,Chpt1,CHPT1,10,88452745
CHPF2,Chpf2,CHPF2,5,24586741
CHPF,Chpf,CHPF,1,75474569
CHP2,Chp2,CHP2,7,122219496
CHP1,Chp1,CHP1,2,119547697
CHORDC1,Chordc1,CHORDC1,9,18292125
CHODL,Chodl,CHODL,16,78930948
CHN2,Chn2,CHN2,6,54039554
CHN1,Chn1,CHN1,2,73610660
CHMP7,Chmp7,CHMP7,14,69717000
CHMP6,Chmp6,CHMP6,11,119913441
CHMP5,Chmp5,CHMP5,4,40948407
CHMP4C,Chmp4c,CHMP4C,3,10366907
CHMP4B,Chmp4b,CHMP4B,2,154651705
RNF103-CHMP3,Chmp3,RNF103-CHMP3,6,71543797
CHMP3,Chmp3,CHMP3,6,71543797
CHMP2B,Chmp2b,CHMP2B,16,65539128
CHMP2A,Chmp2a,CHMP2A,7,13032010
CHMP1B,Chmp1b,CHMP1B,18,67203531
CHMP1A,Chmp1a,CHMP1A,8,123204264
CHML,Chml,CHML,1,175682237
CHM,Chm,CHM,X,113040593
CHL1,Chl1,CHL1,6,103510586
CHKB,Chkb,CHKB,15,89426360
CHKB-CPT1B,Chkb,CHKB-CPT1B,15,89426360
CHKA,Chka,CHKA,19,3851773
CHIT1,Chit1,CHIT1,1,134111242
CHIA,Chil6,CHIA,3,106387384
CHIA,Chil5,CHIA,3,106016919
CHIA,Chil4,CHIA,3,106201490
CHIA,Chil3,CHIA,3,106147554
CHI3L1,Chil1,CHI3L1,1,134182176
CHID1,Chid1,CHID1,7,141493136
CHIC2,Chic2,CHIC2,5,74997988
CHIC1,Chic1,CHIC1,X,103356476
CHIA,Chia1,CHIA,3,106113229
CHGB,Chgb,CHGB,2,132781278
CHGA,Chga,CHGA,12,102554969
CHFR,Chfr,CHFR,5,110135842
CHERP,Cherp,CHERP,8,72460489
CHEK2,Chek2,CHEK2,5,110839979
CHEK1,Chek1,CHEK1,9,36708482
CHDH,Chdh,CHDH,14,30009023
CHD9,Chd9,CHD9,8,90828352
CHD8,Chd8,CHD8,14,52198151
CHD7,Chd7,CHD7,4,8690406
CHD6,Chd6,CHD6,2,160946978
CHD5,Chd5,CHD5,4,152338651
CHD4,Chd4,CHD4,6,125095981
CHD3,Chd3,CHD3,11,69343273
CHD2,Chd2,CHD2,7,73426638
CHD1L,Chd1l,CHD1L,3,97560742
CHD1,Chd1,CHD1,17,15704967
CHCHD7,Chchd7,CHCHD7,4,3938888
CHCHD6,Chchd6,CHCHD6,6,89383146
CHCHD5,Chchd5,CHCHD5,2,129129700
CHCHD4,Chchd4,CHCHD4,6,91462172
CHCHD3,Chchd3,CHCHD3,6,32790976
CHCHD2,Chchd2,CHCHD2,5,129881156
CHCHD10,Chchd10,CHCHD10,10,75933130
CHCHD1,Chchd1,CHCHD1,14,20703006
CHAT,Chat,CHAT,14,32408203
CHAMP1,Champ1,CHAMP1,8,13869641
CHAF1B,Chaf1b,CHAF1B,16,93883901
CHAF1A,Chaf1a,CHAF1A,17,56040439
CHADL,Chadl,CHADL,15,81678296
CHAD,Chad,CHAD,11,94565047
CHAC2,Chac2,CHAC2,11,30976707
CHAC1,Chac1,CHAC1,2,119351229
CH25H,Ch25h,CH25H,19,34473786
CGRRF1,Cgrrf1,CGRRF1,14,46832125
CGREF1,Cgref1,CGREF1,5,30933143
CGNL1,Cgnl1,CGNL1,9,71626509
CGN,Cgn,CGN,3,94760069
CGGBP1,Cggbp1,CGGBP1,16,64851996
CGA,Cga,CGA,4,34893779
CFTR,Cftr,CFTR,6,18170687
CFP,Cfp,CFP,X,20925454
CFLAR,Cflar,CFLAR,1,58711508
CFL2,Cfl2,CFL2,12,54858809
CFL1,Cfl1,CFL1,19,5490455
CFI,Cfi,CFI,3,129835884
CFHR1,Cfhr1,CFHR1,1,139547053
CFHR2,Cfhr1,CFHR2,1,139547053
CFDP1,Cfdp1,CFDP1,8,111768491
CFD,Cfd,CFD,10,79890853
CFC1,Cfc1,CFC1,1,34535648
CFC1B,Cfc1,CFC1B,1,34535648
CFB,Cfb,CFB,17,34856374
CFAP99,Cfap99,CFAP99,5,34288600
CFAP97,Cfap97,CFAP97,8,46151771
CFAP77,Cfap77,CFAP77,2,28926949
CFAP74,Cfap74,CFAP74,4,155409190
CFAP73,Cfap73,CFAP73,5,120628335
CFAP70,Cfap70,CFAP70,14,20394193
CFAP69,Cfap69,CFAP69,5,5579278
CFAP65,Cfap65,CFAP65,1,74902071
CFAP61,Cfap61,CFAP61,2,145934784
CFAP58,Cfap58,CFAP58,19,47937712
CFAP57,Cfap57,CFAP57,4,118554551
CFAP54,Cfap54,CFAP54,10,92775619
CFAP52,Cfap52,CFAP52,11,67924806
CFAP46,Cfap46,CFAP46,7,139600951
CFAP45,Cfap45,CFAP45,1,172520801
CFAP44,Cfap44,CFAP44,16,44394796
CFAP43,Cfap43,CFAP43,19,47737561
CFAP36,Cfap36,CFAP36,11,29221532
CFAP221,Cfap221,CFAP221,1,119923341
CFAP206,Cfap206,CFAP206,4,34688559
CFAP20,Cfap20,CFAP20,8,95420249
CFAP161,Cfap161,CFAP161,7,83774101
CFAP157,Cfap157,CFAP157,2,32777381
CFAP126,Cfap126,CFAP126,1,171113918
CFAP100,Cfap100,CFAP100,6,90403479
CETN3,Cetn3,CETN3,13,81783077
CETN2,Cetn2,CETN2,X,72913532
CETN1,Cetn1,CETN1,18,9615524
CES5A,Ces5a,CES5A,8,93499064
CES4A,Ces4a,CES4A,8,105131800
CES3,Ces3b,CES3,8,105083753
CES3,Ces3a,CES3,8,105048601
CES2,Ces2g,CES2,8,104961718
CES2,Ces2f,CES2,8,104947356
CES2,Ces2e,CES2,8,104926260
CES2,Ces2c,CES2,8,104847068
CES2,Ces2b,CES2,8,104831572
CES2,Ces2a,CES2,8,104734003
CES1,Ces1h,CES1,8,93351843
CES1,Ces1g,CES1,8,93302369
CES1,Ces1d,CES1,8,93166068
CES1,Ces1c,CES1,8,93099015
CES1,Ces1b,CES1,8,93056728
CERS6,Cers6,CERS6,2,68861441
CERS5,Cers5,CERS5,15,99734881
CERS4,Cers4,CERS4,8,4493026
CERS3,Cers3,CERS3,7,66743504
CERS2,Cers2,CERS2,3,95314791
CERS1,Cers1,CERS1,8,70315775
GDF1,Cers1,GDF1,8,70315775
CERKL,Cerkl,CERKL,2,79330543
CERK,Cerk,CERK,15,86139128
CERCAM,Cercam,CERCAM,2,29869164
CER1,Cer1,CER1,4,82881751
CEPT1,Cept1,CEPT1,3,106502260
CEP97,Cep97,CEP97,16,55899888
CEP95,Cep95,CEP95,11,106789252
CEP89,Cep89,CEP89,7,35397035
CEP85L,Cep85l,CEP85L,10,53273443
CEP85,Cep85,CEP85,4,134129858
CEP83,Cep83,CEP83,10,94688654
CEP78,Cep78,CEP78,19,15955774
CEP76,Cep76,CEP76,18,67617397
CEP72,Cep72,CEP72,13,74036500
CEP70,Cep70,CEP70,9,99243367
CEP68,Cep68,CEP68,11,20227037
CEP63,Cep63,CEP63,9,102584588
CEP57L1,Cep57l1,CEP57L1,10,41718840
CEP57,Cep57,CEP57,9,13807792
CEP55,Cep55,CEP55,19,38055025
CEP44,Cep44,CEP44,8,56531522
CEP41,Cep41,CEP41,6,30653457
CEP350,Cep350,CEP350,1,155844964
CEP295NL,Cep295nl,CEP295NL,11,118332360
CEP295,Cep295,CEP295,9,15316915
CEP290,Cep290,CEP290,10,100487558
CEP250,Cep250,CEP250,2,155956458
CEP192,Cep192,CEP192,18,67800107
CEP19,Cep19,CEP19,16,32099800
CEP170B,Cep170b,CEP170B,12,112720455
CEP170,Cep170,CEP170,1,176733653
CEP164,Cep164,CEP164,9,45766946
CEP162,Cep162,CEP162,9,87189577
CEP152,Cep152,CEP152,2,125563088
CEP135,Cep135,CEP135,5,76588698
CEP131,Cep131,CEP131,11,120064430
CEP128,Cep128,CEP128,12,90998492
CEP126,Cep126,CEP126,9,8076461
CEP120,Cep120,CEP120,18,53681724
CEP112,Cep112,CEP112,11,108425192
CEP104,Cep104,CEP104,4,153975194
CENPW,Cenpw,CENPW,10,30194569
CENPV,Cenpv,CENPV,11,62524946
CENPU,Cenpu,CENPU,8,46552028
CENPT,Cenpt,CENPT,8,105844673
CENPS,Cenps,CENPS,4,149127121
CENPQ,Cenpq,CENPQ,17,40923051
CENPP,Cenpp,CENPP,13,49464023
CENPO,Cenpo,CENPO,12,4196004
CENPN,Cenpn,CENPN,8,116921730
CENPM,Cenpm,CENPM,15,82233779
CENPL,Cenpl,CENPL,1,161070713
CENPK,Cenpk,CENPK,13,104228611
CENPJ,Cenpj,CENPJ,14,56526761
CENPI,Cenpi,CENPI,X,134308084
CENPH,Cenph,CENPH,13,100759674
CENPF,Cenpf,CENPF,1,189640606
CENPE,Cenpe,CENPE,3,135212537
CENPC,Cenpc1,CENPC,5,86012024
CENPB,Cenpb,CENPB,2,131175182
CENPA,Cenpa,CENPA,5,30666777
CEND1,Cend1,CEND1,7,141426446
CEMIP,Cemip,CEMIP,7,83932857
CELSR3,Celsr3,CELSR3,9,108826320
CELSR2,Celsr2,CELSR2,3,108390851
CELSR1,Celsr1,CELSR1,15,85898929
CELF6,Celf6,CELF6,9,59577917
CELF4,Celf4,CELF4,18,25477632
CELF3,Celf3,CELF3,3,94478295
CELF2,Celf2,CELF2,2,6539694
CELF1,Celf1,CELF1,2,90940382
CELA3B,Cela3b,CELA3B,4,137420999
CELA3A,Cela3b,CELA3A,4,137420999
CELA3B,Cela3a,CELA3B,4,137401554
CELA3A,Cela3a,CELA3A,4,137401554
CELA2A,Cela2a,CELA2A,4,141814962
CELA2B,Cela2a,CELA2B,4,141814962
CELA1,Cela1,CELA1,15,100674421
CEL,Cel,CEL,2,28555795
CECR2,Cecr2,CECR2,6,120666369
CEBPZOS,Cebpzos,CEBPZOS,17,78916500
CEBPZ,Cebpz,CEBPZ,17,78919006
CEBPG,Cebpg,CEBPG,7,35046422
CEBPE,Cebpe,CEBPE,14,54710360
CEBPD,Cebpd,CEBPD,16,15887286
CEBPB,Cebpb,CEBPB,2,167688915
CEBPA,Cebpa,CEBPA,7,35119293
CEACAM8,Ceacam5,CEACAM8,7,17713238
CEACAM21,Ceacam5,CEACAM21,7,17713238
CEACAM7,Ceacam5,CEACAM7,7,17713238
CEACAM6,Ceacam5,CEACAM6,7,17713238
CEACAM4,Ceacam5,CEACAM4,7,17713238
CEACAM5,Ceacam5,CEACAM5,7,17713238
CEACAM3,Ceacam5,CEACAM3,7,17713238
CEACAM1,Ceacam5,CEACAM1,7,17713238
CEACAM21,Ceacam3,CEACAM21,7,17150282
CEACAM4,Ceacam3,CEACAM4,7,17150282
CEACAM7,Ceacam3,CEACAM7,7,17150282
CEACAM6,Ceacam3,CEACAM6,7,17150282
CEACAM1,Ceacam3,CEACAM1,7,17150282
CEACAM3,Ceacam3,CEACAM3,7,17150282
CEACAM5,Ceacam3,CEACAM5,7,17150282
CEACAM8,Ceacam3,CEACAM8,7,17150282
CEACAM20,Ceacam20,CEACAM20,7,19965412
CEACAM8,Ceacam2,CEACAM8,7,25516042
CEACAM21,Ceacam2,CEACAM21,7,25516042
CEACAM7,Ceacam2,CEACAM7,7,25516042
CEACAM6,Ceacam2,CEACAM6,7,25516042
CEACAM4,Ceacam2,CEACAM4,7,25516042
CEACAM5,Ceacam2,CEACAM5,7,25516042
CEACAM3,Ceacam2,CEACAM3,7,25516042
CEACAM1,Ceacam2,CEACAM1,7,25516042
CEACAM19,Ceacam19,CEACAM19,7,19875742
CEACAM16,Ceacam16,CEACAM16,7,19852097
CEACAM8,Ceacam14,CEACAM8,7,17812633
CEACAM21,Ceacam14,CEACAM21,7,17812633
CEACAM7,Ceacam14,CEACAM7,7,17812633
CEACAM6,Ceacam14,CEACAM6,7,17812633
CEACAM4,Ceacam14,CEACAM4,7,17812633
CEACAM5,Ceacam14,CEACAM5,7,17812633
CEACAM3,Ceacam14,CEACAM3,7,17812633
CEACAM1,Ceacam14,CEACAM1,7,17812633
CEACAM8,Ceacam13,CEACAM8,7,18009889
CEACAM21,Ceacam13,CEACAM21,7,18009889
CEACAM7,Ceacam13,CEACAM7,7,18009889
CEACAM6,Ceacam13,CEACAM6,7,18009889
CEACAM4,Ceacam13,CEACAM4,7,18009889
CEACAM5,Ceacam13,CEACAM5,7,18009889
CEACAM3,Ceacam13,CEACAM3,7,18009889
CEACAM1,Ceacam13,CEACAM1,7,18009889
CEACAM8,Ceacam12,CEACAM8,7,18065929
CEACAM21,Ceacam12,CEACAM21,7,18065929
CEACAM7,Ceacam12,CEACAM7,7,18065929
CEACAM6,Ceacam12,CEACAM6,7,18065929
CEACAM4,Ceacam12,CEACAM4,7,18065929
CEACAM5,Ceacam12,CEACAM5,7,18065929
CEACAM3,Ceacam12,CEACAM3,7,18065929
CEACAM1,Ceacam12,CEACAM1,7,18065929
CEACAM8,Ceacam11,CEACAM8,7,17972124
CEACAM21,Ceacam11,CEACAM21,7,17972124
CEACAM7,Ceacam11,CEACAM7,7,17972124
CEACAM6,Ceacam11,CEACAM6,7,17972124
CEACAM4,Ceacam11,CEACAM4,7,17972124
CEACAM5,Ceacam11,CEACAM5,7,17972124
CEACAM3,Ceacam11,CEACAM3,7,17972124
CEACAM1,Ceacam11,CEACAM1,7,17972124
CEACAM1,Ceacam10,CEACAM1,7,24777206
CEACAM3,Ceacam10,CEACAM3,7,24777206
CEACAM5,Ceacam10,CEACAM5,7,24777206
CEACAM8,Ceacam10,CEACAM8,7,24777206
CEACAM21,Ceacam10,CEACAM21,7,24777206
CEACAM4,Ceacam10,CEACAM4,7,24777206
CEACAM7,Ceacam10,CEACAM7,7,24777206
CEACAM6,Ceacam10,CEACAM6,7,24777206
CEACAM8,Ceacam1,CEACAM8,7,25461707
CEACAM21,Ceacam1,CEACAM21,7,25461707
CEACAM7,Ceacam1,CEACAM7,7,25461707
CEACAM6,Ceacam1,CEACAM6,7,25461707
CEACAM4,Ceacam1,CEACAM4,7,25461707
CEACAM5,Ceacam1,CEACAM5,7,25461707
CEACAM3,Ceacam1,CEACAM3,7,25461707
CEACAM1,Ceacam1,CEACAM1,7,25461707
CDYL2,Cdyl2,CDYL2,8,116574400
CDYL,Cdyl,CDYL,13,35659833
CDX4,Cdx4,CDX4,X,103321398
CDX2,Cdx2,CDX2,5,147300805
CDX1,Cdx1,CDX1,18,61018862
CDV3,Cdv3,CDV3,9,103353094
CDT1,Cdt1,CDT1,8,122568015
CDSN,Cdsn,CDSN,17,35552128
CDS2,Cds2,CDS2,2,132263148
CDS1,Cds1,CDS1,5,101765130
