Gene Symbol,Description,Category,Gifts,GC Id,Relevance score, GeneCards Link
CALCA,Calcitonin Related Polypeptide Alpha,Protein Coding,49,GC11M014945,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CALCA
MTNR1A,Melatonin Receptor 1A,Protein Coding,49,GC04M186533,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTNR1A
GREM1,"Gremlin 1, DAN Family BMP Antagonist",Protein Coding,49,GC15P032717,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GREM1
SQLE,Squalene Epoxidase,Protein Coding,49,GC08P124998,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQLE
IGFBP1,Insulin Like Growth Factor Binding Protein 1,Protein Coding,49,GC07P046321,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP1
FIBP,FGF1 Intracellular Binding Protein,Protein Coding,48,GC11M065901,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FIBP
CRY2,Cryptochrome Circadian Regulator 2,Protein Coding,47,GC11P045900,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CRY2
COL4A3BP,Collagen Type IV Alpha 3 Binding Protein,Protein Coding,47,GC05M075368,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL4A3BP
AAAS,Aladin WD Repeat Nucleoporin,Protein Coding,47,GC12M053307,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AAAS
GLUD2,Glutamate Dehydrogenase 2,Protein Coding,47,GC0XP121047,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GLUD2
GHRH,Growth Hormone Releasing Hormone,Protein Coding,46,GC20M037251,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GHRH
TOMM40,Translocase Of Outer Mitochondrial Membrane 40,Protein Coding,46,GC19P044890,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TOMM40
KCNK5,Potassium Two Pore Domain Channel Subfamily K Member 5,Protein Coding,45,GC06M039780,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNK5
PCTP,Phosphatidylcholine Transfer Protein,Protein Coding,45,GC17P055750,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCTP
UCN,Urocortin,Protein Coding,44,GC02M027273,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCN
NUDT6,Nudix Hydrolase 6,Protein Coding,42,GC04M122888,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT6
STARD3NL,STARD3 N-Terminal Like,Protein Coding,41,GC07P038218,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD3NL
ASCL4,Achaete-Scute Family BHLH Transcription Factor 4,Protein Coding,39,GC12P107774,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASCL4
SLC51B,Solute Carrier Family 51 Beta Subunit,Protein Coding,38,GC15P069383,0.33,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC51B
KDR,Kinase Insert Domain Receptor,Protein Coding,61,GC04M055078,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KDR
TP53,Tumor Protein P53,Protein Coding,61,GC17M007661,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TP53
SRC,"SRC Proto-Oncogene, Non-Receptor Tyrosine Kinase",Protein Coding,59,GC20P037344,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SRC
HRAS,"HRas Proto-Oncogene, GTPase",Protein Coding,59,GC11M000522,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HRAS
FLT1,Fms Related Tyrosine Kinase 1,Protein Coding,58,GC13M028300,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLT1
HGF,Hepatocyte Growth Factor,Protein Coding,58,GC07M081699,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HGF
MAPK14,Mitogen-Activated Protein Kinase 14,Protein Coding,58,GC06P042538,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK14
CYP3A4,Cytochrome P450 Family 3 Subfamily A Member 4,Protein Coding,57,GC07M099759,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A4
CASP7,Caspase 7,Protein Coding,57,GC10P113679,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASP7
ACVR1,Activin A Receptor Type 1,Protein Coding,57,GC02M157736,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACVR1
BMPR1B,Bone Morphogenetic Protein Receptor Type 1B,Protein Coding,57,GC04P094757,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR1B
SPARC,Secreted Protein Acidic And Cysteine Rich,Protein Coding,57,GC05M151639,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPARC
EDNRA,Endothelin Receptor Type A,Protein Coding,56,GC04P147480,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDNRA
AGTR1,Angiotensin II Receptor Type 1,Protein Coding,56,GC03P148697,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGTR1
BMPR2,Bone Morphogenetic Protein Receptor Type 2,Protein Coding,56,GC02P202376,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMPR2
SNAP25,Synaptosome Associated Protein 25,Protein Coding,56,GC20P010218,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNAP25
CYP2B6,Cytochrome P450 Family 2 Subfamily B Member 6,Protein Coding,55,GC19P040991,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP2B6
CDC25C,Cell Division Cycle 25C,Protein Coding,55,GC05M138296,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC25C
SCD,Stearoyl-CoA Desaturase,Protein Coding,55,GC10P100347,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCD
HSP90AA1,Heat Shock Protein 90 Alpha Family Class A Member 1,Protein Coding,55,GC14M102080,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSP90AA1
CTBP1,C-Terminal Binding Protein 1,Protein Coding,54,GC04M001211,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP1
GJB1,Gap Junction Protein Beta 1,Protein Coding,54,GC0XP071215,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB1
CYP1A2,Cytochrome P450 Family 1 Subfamily A Member 2,Protein Coding,53,GC15P074748,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP1A2
CAMK2G,Calcium/Calmodulin Dependent Protein Kinase II Gamma,Protein Coding,53,GC10M073812,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMK2G
LCAT,Lecithin-Cholesterol Acyltransferase,Protein Coding,53,GC16M067939,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LCAT
KLK3,Kallikrein Related Peptidase 3,Protein Coding,53,GC19P050854,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK3
NRP1,Neuropilin 1,Protein Coding,53,GC10M033216,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NRP1
GJB2,Gap Junction Protein Beta 2,Protein Coding,53,GC13M020187,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GJB2
SIRT3,Sirtuin 3,Protein Coding,53,GC11M000215,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT3
LRP1,LDL Receptor Related Protein 1,Protein Coding,53,GC12P057128,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LRP1
EDN3,Endothelin 3,Protein Coding,52,GC20P059300,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN3
DLC1,DLC1 Rho GTPase Activating Protein,Protein Coding,52,GC08M013083,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DLC1
CAMKK2,Calcium/Calmodulin Dependent Protein Kinase Kinase 2,Protein Coding,52,GC12M121255,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKK2
CCKAR,Cholecystokinin A Receptor,Protein Coding,52,GC04M026483,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCKAR
HBB,Hemoglobin Subunit Beta,Protein Coding,52,GC11M005238,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HBB
GZMB,Granzyme B,Protein Coding,52,GC14M024630,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GZMB
MSTN,Myostatin,Protein Coding,52,GC02M190055,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MSTN
TIMP3,TIMP Metallopeptidase Inhibitor 3,Protein Coding,52,GC22P032800,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP3
IL5,Interleukin 5,Protein Coding,52,GC05M132541,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL5
TGIF1,TGFB Induced Factor Homeobox 1,Protein Coding,52,GC18P003411,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGIF1
TXN,Thioredoxin,Protein Coding,52,GC09M110243,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXN
ELK1,"ELK1, ETS Transcription Factor",Protein Coding,51,GC0XM047635,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ELK1
CCKBR,Cholecystokinin B Receptor,Protein Coding,51,GC11P006280,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCKBR
KITLG,KIT Ligand,Protein Coding,51,GC12M088492,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KITLG
LAMA3,Laminin Subunit Alpha 3,Protein Coding,51,GC18P023689,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LAMA3
PNMT,Phenylethanolamine N-Methyltransferase,Protein Coding,51,GC17P039667,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PNMT
MC4R,Melanocortin 4 Receptor,Protein Coding,51,GC18M060371,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC4R
CAMKK1,Calcium/Calmodulin Dependent Protein Kinase Kinase 1,Protein Coding,50,GC17M003860,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CAMKK1
CTBP2,C-Terminal Binding Protein 2,Protein Coding,50,GC10M124984,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTBP2
ARRB1,Arrestin Beta 1,Protein Coding,50,GC11M075261,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARRB1
PTGFR,Prostaglandin F Receptor,Protein Coding,50,GC01P078379,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGFR
MTTP,Microsomal Triglyceride Transfer Protein,Protein Coding,50,GC04P099563,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTTP
SIK2,Salt Inducible Kinase 2,Protein Coding,50,GC11P111605,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIK2
SULT1E1,Sulfotransferase Family 1E Member 1,Protein Coding,50,GC04M069841,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT1E1
TIMP2,TIMP Metallopeptidase Inhibitor 2,Protein Coding,50,GC17M078852,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TIMP2
IL13,Interleukin 13,Protein Coding,50,GC05P132656,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL13
AGRP,Agouti Related Neuropeptide,Protein Coding,49,GC16M067482,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=AGRP
IL17A,Interleukin 17A,Protein Coding,49,GC06P052186,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL17A
NDUFS4,NADH:Ubiquinone Oxidoreductase Subunit S4,Protein Coding,49,GC05P053560,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NDUFS4
IL3,Interleukin 3,Protein Coding,49,GC05P132060,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL3
IGFBP5,Insulin Like Growth Factor Binding Protein 5,Protein Coding,49,GC02M216672,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IGFBP5
SLC23A2,Solute Carrier Family 23 Member 2,Protein Coding,49,GC20M004781,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC23A2
BMP5,Bone Morphogenetic Protein 5,Protein Coding,48,GC06M055728,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP5
PLTP,Phospholipid Transfer Protein,Protein Coding,48,GC20M045898,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLTP
BMP15,Bone Morphogenetic Protein 15,Protein Coding,47,GC0XP050910,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BMP15
CCK,Cholecystokinin,Protein Coding,47,GC03M042274,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCK
PPA1,Pyrophosphatase (Inorganic) 1,Protein Coding,47,GC10M070202,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPA1
OSBPL2,Oxysterol Binding Protein Like 2,Protein Coding,47,GC20P062231,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=OSBPL2
EDN2,Endothelin 2,Protein Coding,46,GC01M041478,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDN2
ADAMTSL1,ADAMTS Like 1,Protein Coding,46,GC09P017906,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTSL1
PDZK1,PDZ Domain Containing 1,Protein Coding,46,GC01M145670,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDZK1
NPFFR1,Neuropeptide FF Receptor 1,Protein Coding,45,GC10M070247,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NPFFR1
DUSP19,Dual Specificity Phosphatase 19,Protein Coding,44,GC02P183078,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DUSP19
ATAD3A,"ATPase Family, AAA Domain Containing 3A",Protein Coding,44,GC01P001514,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATAD3A
INHBC,Inhibin Subunit Beta C,Protein Coding,44,GC12P057434,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBC
HINT2,Histidine Triad Nucleotide Binding Protein 2,Protein Coding,44,GC09M035812,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HINT2
MTX1,Metaxin 1,Protein Coding,44,GC01P155208,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MTX1
MAML2,Mastermind Like Transcriptional Coactivator 2,Protein Coding,43,GC11M095976,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAML2
STARD10,StAR Related Lipid Transfer Domain Containing 10,Protein Coding,43,GC11M072688,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STARD10
ACOT11,Acyl-CoA Thioesterase 11,Protein Coding,42,GC01P054542,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACOT11
INHBE,Inhibin Subunit Beta E,Protein Coding,42,GC12P057452,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=INHBE
ARSH,Arylsulfatase Family Member H,Protein Coding,41,GC0XP003006,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSH
LMTK3,Lemur Tyrosine Kinase 3,Protein Coding,39,GC19M048485,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LMTK3
QRFP,Pyroglutamylated RFamide Peptide,Protein Coding,36,GC09M130892,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=QRFP
LINC01194,Long Intergenic Non-Protein Coding RNA 1194,RNA Gene,16,GC05P012578,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01194
UGT1A,UDP Glucuronosyltransferase Family 1 Member A Complex Locus,Protein Coding,12,GC02P233586,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=UGT1A
CNC2,"Carney Complex Type 2, Multiple Neoplasia And Lentiginosis",Genetic Locus,9,GC02U990267,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNC2
LOC111240475,HSD17B1 Promoter,Uncategorized,3,GC17U902743,0.27,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC111240475
PDGFRA,Platelet Derived Growth Factor Receptor Alpha,Protein Coding,63,GC04P054229,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFRA
EGFR,Epidermal Growth Factor Receptor,Protein Coding,62,GC07P055019,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EGFR
CDK4,Cyclin Dependent Kinase 4,Protein Coding,62,GC12M057743,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK4
CDK6,Cyclin Dependent Kinase 6,Protein Coding,61,GC07M092604,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK6
CDK2,Cyclin Dependent Kinase 2,Protein Coding,60,GC12P055966,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK2
PTEN,Phosphatase And Tensin Homolog,Protein Coding,60,GC10P087863,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTEN
MMP2,Matrix Metallopeptidase 2,Protein Coding,60,GC16P055424,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP2
MMP9,Matrix Metallopeptidase 9,Protein Coding,60,GC20P046008,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP9
STAT1,Signal Transducer And Activator Of Transcription 1,Protein Coding,60,GC02M190964,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT1
STAT3,Signal Transducer And Activator Of Transcription 3,Protein Coding,59,GC17M042313,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT3
FZD4,Frizzled Class Receptor 4,Protein Coding,58,GC11M086945,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FZD4
CDC42,Cell Division Cycle 42,Protein Coding,58,GC01P022052,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDC42
MMP1,Matrix Metallopeptidase 1,Protein Coding,58,GC11M102810,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MMP1
SCN5A,Sodium Voltage-Gated Channel Alpha Subunit 5,Protein Coding,58,GC03M038549,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SCN5A
TH,Tyrosine Hydroxylase,Protein Coding,58,GC11M002163,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TH
TLR4,Toll Like Receptor 4,Protein Coding,58,GC09P117704,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TLR4
DSP,Desmoplakin,Protein Coding,57,GC06P007541,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DSP
DBH,Dopamine Beta-Hydroxylase,Protein Coding,57,GC09P133636,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DBH
ALB,Albumin,Protein Coding,57,GC04P073397,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ALB
BRCA1,"BRCA1, DNA Repair Associated",Protein Coding,57,GC17M043044,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRCA1
HDAC1,Histone Deacetylase 1,Protein Coding,57,GC01P032260,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HDAC1
MPO,Myeloperoxidase,Protein Coding,57,GC17M058269,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPO
LPL,Lipoprotein Lipase,Protein Coding,57,GC08P019841,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=LPL
PCSK9,Proprotein Convertase Subtilisin/Kexin Type 9,Protein Coding,57,GC01P055039,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PCSK9
HNF4A,Hepatocyte Nuclear Factor 4 Alpha,Protein Coding,57,GC20P044355,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNF4A
EDNRB,Endothelin Receptor Type B,Protein Coding,56,GC13M077895,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=EDNRB
DNMT3B,DNA Methyltransferase 3 Beta,Protein Coding,56,GC20P032762,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNMT3B
CACNA1H,Calcium Voltage-Gated Channel Subunit Alpha1 H,Protein Coding,56,GC16P001153,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CACNA1H
KCNMA1,Potassium Calcium-Activated Channel Subfamily M Alpha 1,Protein Coding,56,GC10M076869,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=KCNMA1
PARP1,Poly(ADP-Ribose) Polymerase 1,Protein Coding,56,GC01M226360,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PARP1
PDGFB,Platelet Derived Growth Factor Subunit B,Protein Coding,56,GC22M043162,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDGFB
ROCK1,Rho Associated Coiled-Coil Containing Protein Kinase 1,Protein Coding,56,GC18M020946,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ROCK1
MAPKAPK3,Mitogen-Activated Protein Kinase-Activated Protein Kinase 3,Protein Coding,56,GC03P050648,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPKAPK3
SHH,Sonic Hedgehog,Protein Coding,56,GC07M155799,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SHH
STAT5B,Signal Transducer And Activator Of Transcription 5B,Protein Coding,56,GC17M042199,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT5B
CYCS,"Cytochrome C, Somatic",Protein Coding,55,GC07M025158,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYCS
FASN,Fatty Acid Synthase,Protein Coding,55,GC17M082078,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=FASN
ADRB1,Adrenoceptor Beta 1,Protein Coding,55,GC10P114044,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADRB1
ACE,Angiotensin I Converting Enzyme,Protein Coding,55,GC17P063477,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACE
CDH5,Cadherin 5,Protein Coding,55,GC16P066366,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDH5
ATP1A1,ATPase Na+/K+ Transporting Subunit Alpha 1,Protein Coding,55,GC01P116372,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATP1A1
RPS6KB1,Ribosomal Protein S6 Kinase B1,Protein Coding,55,GC17P059893,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS6KB1
MAPK12,Mitogen-Activated Protein Kinase 12,Protein Coding,55,GC22M050246,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK12
NF1,Neurofibromin 1,Protein Coding,55,GC17P031045,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=NF1
STAT6,Signal Transducer And Activator Of Transcription 6,Protein Coding,55,GC12M057095,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=STAT6
MVK,Mevalonate Kinase,Protein Coding,55,GC12P109573,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MVK
HTR1A,5-Hydroxytryptamine Receptor 1A,Protein Coding,55,GC05M063960,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR1A
GBA,Glucosylceramidase Beta,Protein Coding,54,GC01M155234,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GBA
CYP3A5,Cytochrome P450 Family 3 Subfamily A Member 5,Protein Coding,54,GC07M099648,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYP3A5
IRF1,Interferon Regulatory Factor 1,Protein Coding,54,GC05M132481,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF1
PLA2G6,Phospholipase A2 Group VI,Protein Coding,54,GC22M043445,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6
PTGS1,Prostaglandin-Endoperoxide Synthase 1,Protein Coding,54,GC09P122370,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTGS1
MC1R,Melanocortin 1 Receptor,Protein Coding,54,GC16P089912,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=MC1R
SLC25A4,Solute Carrier Family 25 Member 4,Protein Coding,54,GC04P185143,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SLC25A4
CD44,CD44 Molecule (Indian Blood Group),Protein Coding,53,GC11P035168,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD44
CDKN1C,Cyclin Dependent Kinase Inhibitor 1C,Protein Coding,53,GC11M002904,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDKN1C
ECE1,Endothelin Converting Enzyme 1,Protein Coding,53,GC01M021217,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ECE1
CLU,Clusterin,Protein Coding,53,GC08M027596,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CLU
ARSA,Arylsulfatase A,Protein Coding,53,GC22M050622,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARSA
PLD2,Phospholipase D2,Protein Coding,53,GC17P004808,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLD2
PAX3,Paired Box 3,Protein Coding,53,GC02M222199,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PAX3
PDE11A,Phosphodiesterase 11A,Protein Coding,53,GC02M177624,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDE11A
GK,Glycerol Kinase,Protein Coding,53,GC0XP030671,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GK
SIGMAR1,Sigma Non-Opioid Intracellular Receptor 1,Protein Coding,53,GC09M034634,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIGMAR1
HSPG2,Heparan Sulfate Proteoglycan 2,Protein Coding,53,GC01M021822,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HSPG2
HTR2A,5-Hydroxytryptamine Receptor 2A,Protein Coding,53,GC13M046831,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR2A
HTR7,5-Hydroxytryptamine Receptor 7,Protein Coding,53,GC10M090740,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR7
TNC,Tenascin C,Protein Coding,53,GC09M115019,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNC
SMAD2,SMAD Family Member 2,Protein Coding,53,GC18M047809,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMAD2
GATA1,GATA Binding Protein 1,Protein Coding,52,GC0XP048786,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GATA1
CTSL,Cathepsin L,Protein Coding,52,GC09P087725,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CTSL
DHCR24,24-Dehydrocholesterol Reductase,Protein Coding,52,GC01M054849,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHCR24
CCNH,Cyclin H,Protein Coding,52,GC05M087377,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCNH
CDK1,Cyclin Dependent Kinase 1,Protein Coding,52,GC10P060772,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK1
ADIPOQ,"Adiponectin, C1Q And Collagen Domain Containing",Protein Coding,52,GC03P186842,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADIPOQ
ANGPT1,Angiopoietin 1,Protein Coding,52,GC08M107246,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANGPT1
GNAI1,G Protein Subunit Alpha I1,Protein Coding,52,GC07P079763,0.19,https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAI1
